Recording ID,Event,Year,Recap Url,Full Url
R25-001,4.22 Launch Party,2025,https://vimeo.com/1080714409/8666c8710c,
R25-002,4.23 Every Little Thing,2025,https://vimeo.com/1080714441/1a22cde84d,https://vimeo.com/user57960263/review/1083667111/7a1a135805
R25-003,4.23 The Hills,2025,https://vimeo.com/1082282088/5abfcb44e1,https://vimeo.com/user57960263/review/1083669307/72459f89f2
R25-004,4.24 Bad River,2025,https://vimeo.com/1082282036/84ceb081c5,https://vimeo.com/user57960263/review/1083666461/4a3a9375db
R25-005,4.25 Single Use Planet,2025,https://vimeo.com/1082703798/d8d4cfa92d,https://vimeo.com/user57960263/review/1083668134/d5c76c9816
R25-006,4.26 Cafeteria Man,2025,https://vimeo.com/1082731610/a3731bf2eb,https://vimeo.com/user57960263/review/1083667537/1aa5ff1c74
R25-007,4.26 When We Cycle,2025,https://vimeo.com/1083016516/ad97a9f3f5,https://vimeo.com/user57960263/review/1083669784/5de670de17
R25-008,4.27 The Grab,2025,https://vimeo.com/1083016355/d3182d7af2,https://vimeo.com/user57960263/review/1083668852/2dccaf6cee
R25-009,4.28 Women of Carbon,2025,https://vimeo.com/1083043327/27be9b2737,https://vimeo.com/1081990232/17e9283864
R25-010,NO VIDEO,2025,,
R25-011,4.25 50 States of Sustainability,2025,,
R25-012,4.26 Food Inc 2,2025,,
R24-013,3.25 Preview,2024,https://vimeo.com/928883922,
R24-014,4.17 Launch Party,2024,https://vimeo.com/946695451,
R24-015,4.18 World of Water,2024,https://vimeo.com/946341370,
R24-016,4.19 Earthbound,2024,https://vimeo.com/947801789,
R24-017,4.20 Razing Liberty Square,2024,https://vimeo.com/949735489,
R24-018,4.21 Common Ground,2024,https://vimeo.com/949735820,
R24-019,4.22 Patrol,2024,https://vimeo.com/952123162,
R24-020,4.23 Carbon,2024,https://vimeo.com/952487680,
R24-021,editing log,2024,,
R24-022,Editor: E. Turney,2024,,
R24-023,Total Logged Hours,2024,,
R24-024,Breakdown by Video,2024,,
R24-025,1a | Preview at OTV,2024,,
R24-026,edit,2024,,
R24-027,captions,2024,,
R24-028,v2 edit,2024,,
R24-029,v3 edit,2024,,
R24-030,1b | Launch Party at Radio Flyer,2024,,
R24-031,edit,2024,,
R24-032,edit,2024,,
R24-033,captions,2024,,
R24-034,edit,2024,,
R24-035,caption review,2024,,
R24-036,2 | Upstream Downriver at Epiphany,2024,,
R24-037,edit,2024,,
R24-038,edit,2024,,
R24-039,edit,2024,,
R24-040,caption review,2024,,
R24-041,3 | A Good Neighbor + Earthbound at Keiren Arts Ce,2024,,
R24-042,prep,2024,,
R24-043,edit,2024,,
R24-044,edit,2024,,
R24-045,caption review,2024,,
R24-046,4 | Razing Liberty Square at Bethel,2024,,
R24-047,prep,2024,,
R24-048,edit,2024,,
R24-049,caption review,2024,,
R24-050,5 | Common Ground at Cultural Center,2024,,
R24-051,prep,2024,,
R24-052,edit,2024,,
R24-053,caption review,2024,,
R24-054,6 | Patrol at OTV,2024,,
R24-055,edit,2024,,
R24-056,edit,2024,,
R24-057,edit,2024,,
R24-058,edit,2024,,
R24-059,caption review,2024,,
R24-060,7 | Carbon at OTV,2024,,
R24-061,edit,2024,,
R24-062,edit & caption review,2024,,
