Event Name,Venue,Address,Date,Start Time,End Time,Film Title,Age Group/Content Advisory,Ticket Price,Type,Rep,Notes
"OEFF 2026: Reasons for Hope — Dr. Jane Goodall","Columbia College - Film Row Cinema","1104 S Wabash Ave, Chicago IL 60605",2026-04-22,6:00 PM,9:00 PM,"Reasons for Hope: Dr. Jane Goodall",recommended 7+,"$75 ea / two for $150",Flagship,Michael,"CONFIRM: ticket tiers and pricing"
"OEFF 2026: Beyond Zero","Trinity Lutheran Church","675 E Algonquin Rd, Des Plaines IL 60016",2026-04-23,6:30 PM,,Beyond Zero,recommended 12+,Free,Community,Ana,NEED: end time
"OEFF 2026: Plastic People","Climate Action Evanston","1703 Orrington Ave, Evanston IL 60201",2026-04-23,6:30 PM,,Plastic People,"Has depictions of Organs + Surgery. recommended 15+",Free,Community,Ana,NEED: end time
"OEFF 2026: TBD Film","Uncommon Ground","3800 N Clark St, Chicago IL 60613",2026-04-23,6:30 PM,,TBD,,Free,Flagship,Ana,NEED: film title + end time
"OEFF 2026: Drowned Land","Columbia College - Film Row Cinema","1104 S Wabash Ave, Chicago IL 60605",2026-04-23,6:30 PM,,"Drowned Land (pending)",TBD,"$75 ea / two for $150",Flagship,Michael,"CONFIRM: same pricing as 4/22? NEED: end time"
"OEFF 2026: How to Power a City","Village of Oak Park","TBD — possibly OPRF High School",2026-04-24,6:30 PM,,"How to Power a City (pending)",recommended 15+,Free,Community,Ana,"Q: Village of Oak Park is ORG not venue — where is screening? NEED: confirm venue + address + end time"
"OEFF 2026: How to Power a City","Institute of Cultural Affairs in the USA","4750 N Sheridan Rd, Chicago IL 60640",2026-04-24,6:30 PM,,"How to Power a City (pending)",recommended 15+,Free,Community,Ana,NEED: end time
"OEFF 2026: Rooted","Bethel New Life","1140 N. Lamon, Chicago IL 60644",2026-04-24,6:30 PM,,Rooted,recommended 12+,Free,Community,Ana,NEED: end time
"OEFF 2026: How to Power a City","Triton College","2000 Fifth Ave, River Grove IL 60171",2026-04-24,6:30 PM,,How to Power a City,recommended 15+,Free,Community,Ana,NEED: end time
"OEFF 2026: Young Filmmakers Winner Short Films","Cultivate Collective / AGC","4942 W 44th St, Chicago IL 60638",2026-04-25,1:00 PM,,"Young Filmmakers Winner Short Films",recommended 4+,Free,Community,Ana,NEED: end time
"OEFF 2026: 40 Acres","Kehrein Center / Spill the Beans (Urban Essentials) Coffee House","Garfield Park, Chicago IL",2026-04-25,1:00 PM,,"40 Acres (pending)","18+ ONLY. Graphic Violence and Language",Free,Community,Ana,NEED: venue address + end time
"OEFF 2026: 40 Acres","Black Girl Environmentalists/ UIC or Patagonia Fulton Market","UIC or Patagonia, 1115 W Fulton Market",2026-04-25,1:00 PM,,"40 Acres (pending)","18+ ONLY. Graphic Violence and Language",Free,Community,Ana,"Q: BGE is ORG not venue — UIC or Patagonia (1115 W Fulton)? Confirm screening location + end time"
"OEFF 2026: Rails to Trails","Broadway United Methodist","3338 N Broadway St, Chicago IL 60657",2026-04-25,6:30 PM,,"From Rails to Trails",recommended 12+,Free,Community,Ana,NEED: end time
"OEFF 2026: Rooted","Dominican University","7900 W Division St, River Forest IL 60305",2026-04-27,,,Rooted,recommended 12+,Free,Community/Hybrid,Ana/Garen,"NEED: start + end time; hybrid streaming?"
"OEFF 2026: In Our Nature — Chicago Cultural Center","Chicago Cultural Center","Chicago Cultural Center, Chicago IL",,,,In Our Nature,recommended 7+,,,,"NEED: date, time. Film confirmed per roadmap (In Our Nature)."
"OEFF 2026: Young Filmmakers Contest Winner Short Films","BUILD Chicago","BUILD Chicago, Chicago West (Austin)",2026-04-25,1:00 PM,,"Young Filmmakers Contest Winner Short Films",recommended 4+,Free,Flagship,,"Q: BUILD is ORG not venue — screening at their Austin location? NEED: street address + end time"
"OEFF 2026: Rails to Trails","Calumet College of St. Joseph","2400 New York Ave, Whiting IN 46394",2026-04-25,6:30 PM,,"From Rails to Trails",recommended 12+,Free,Community,,NEED: confirm end time
"OEFF 2026: TBD — Go Green Park Ridge","Go Green Park Ridge","Pickwick Theater (TBD), Park Ridge IL",2026-04-25,1:00 PM,,TBD,,Free,Community,,"UNSCHEDULED PLACEHOLDER — date tentative, venue and film TBD. Possibly Pickwick Theater."
"OEFF 2026: TBD — IIT Bronzeville","IIT Bronzeville","Bronzeville, Chicago IL",,,,,TBD,,Free,Community,,"UNSCHEDULED PLACEHOLDER — all details TBD. Confirmed interest per roadmap."
"OEFF 2026: Chasing Time — Chicago Climate Action Museum (Not fully confirmed yet 2/23/26)","Chicago Climate Action Museum","Downtown / Loop, Chicago IL",,,,Chasing Time,recommended 12+,Free,Community,,"UNSCHEDULED PLACEHOLDER — film confirmed (Chasing Time), date and time TBD. Q: no clear roadmap match for this film — confirm host/venue pairing"
